start,startPosition,end,endPosition,frequency
11,"[138.5820007, 164.0650024, 116.2009964]",39,"[152.2220001, 68.46289825, 157.4160004]",1
11,"[138.5820007, 164.0650024, 116.2009964]",59,"[151.7429962, 155.5279999, 144.3860016]",1
11,"[138.5820007, 164.0650024, 116.2009964]",60,"[151.2940063, 145.7890015, 147.4069977]",1
11,"[138.5820007, 164.0650024, 116.2009964]",62,"[155.1399994, 128.4019928, 151.8249969]",1
11,"[138.5820007, 164.0650024, 116.2009964]",72,"[156.5449982, 102.3290024, 159.7810059]",1
11,"[138.5820007, 164.0650024, 116.2009964]",82,"[138.1589966, 161.0829926, 165.0639954]",1
11,"[138.5820007, 164.0650024, 116.2009964]",85,"[142.0429993, 130.0619965, 169.8990021]",1
11,"[138.5820007, 164.0650024, 116.2009964]",92,"[140.1150055, 132.2189941, 171.2709961]",1
11,"[138.5820007, 164.0650024, 116.2009964]",95,"[142.2890015, 98.17539978, 177.878006]",1
13,"[138.2689972, 179.3699951, 124.5009995]",19,"[134.6849976, 137.822998, 78.49230194]",1
13,"[138.2689972, 179.3699951, 124.5009995]",20,"[140.0559998, 145.1410065, 84.12349701]",1
13,"[138.2689972, 179.3699951, 124.5009995]",30,"[158.427002, 127.9219971, 122.7289963]",1
13,"[138.2689972, 179.3699951, 124.5009995]",55,"[158.6190033, 123.2190018, 146.7550049]",1
13,"[138.2689972, 179.3699951, 124.5009995]",57,"[143.9880066, 174.8549957, 137.7160034]",2
13,"[138.2689972, 179.3699951, 124.5009995]",58,"[146.345993, 165.3130035, 141.4450073]",6
13,"[138.2689972, 179.3699951, 124.5009995]",59,"[151.7429962, 155.5279999, 144.3860016]",5
13,"[138.2689972, 179.3699951, 124.5009995]",60,"[151.2940063, 145.7890015, 147.4069977]",4
13,"[138.2689972, 179.3699951, 124.5009995]",62,"[155.1399994, 128.4019928, 151.8249969]",1
13,"[138.2689972, 179.3699951, 124.5009995]",63,"[156.1549988, 120.0169983, 153.4470062]",3
13,"[138.2689972, 179.3699951, 124.5009995]",64,"[157.9980011, 105.8190002, 154.4190063]",1
13,"[138.2689972, 179.3699951, 124.5009995]",69,"[152.173996, 131.003006, 157.151001]",1
13,"[138.2689972, 179.3699951, 124.5009995]",70,"[151.7799988, 123.7529984, 158.2429962]",3
13,"[138.2689972, 179.3699951, 124.5009995]",72,"[156.5449982, 102.3290024, 159.7810059]",3
13,"[138.2689972, 179.3699951, 124.5009995]",76,"[148.2059937, 142.6670074, 160.7960052]",1
13,"[138.2689972, 179.3699951, 124.5009995]",77,"[147.1609955, 134.2330017, 165.076004]",3
